Bank,Title,Description,Published Date,URL,Sentiment,Sentiment Score
JPMorgan,"Corebridge Financial Inc. Sells 2,006 Shares of Primoris Services Co. (NASDAQ:PRIM)","Corebridge Financial Inc. trimmed its stake in shares of Primoris Services Co. (NASDAQ:PRIM – Free Report) by 7.0% in the fourth quarter, Holdings Channel.com reports. The fund owned 26,575 shares of the construction company’s stock after selling 2,006 shares…",2025-04-02T10:30:58Z,https://www.etfdailynews.com/2025/04/02/corebridge-financial-inc-sells-2006-shares-of-primoris-services-co-nasdaqprim/,Neutral,0.8651
JPMorgan,"Bentley Systems, Incorporated (NASDAQ:BSY) Shares Acquired by LPL Financial LLC","LPL Financial LLC boosted its holdings in Bentley Systems, Incorporated (NASDAQ:BSY – Free Report) by 0.5% during the 4th quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 330,954 shares of the …",2025-04-02T10:04:54Z,https://www.etfdailynews.com/2025/04/02/bentley-systems-incorporated-nasdaqbsy-shares-acquired-by-lpl-financial-llc/,Positive,0.6208
JPMorgan,Circle crypto IPO: Can $5B valuation overcome 42% profit drop?,"Circle Crypto aims for a $5 billion IPO despite financial struggles, rising USDC supply, and competition.",2025-04-02T10:00:29Z,https://ambcrypto.com/circle-crypto-ipo-can-5b-valuation-overcome-42-profit-drop/,Neutral,0.7295
JPMorgan,Essent Group Ltd. (NYSE:ESNT) Shares Bought by Sei Investments Co.,"Sei Investments Co. raised its holdings in Essent Group Ltd. (NYSE:ESNT – Free Report) by 30.9% in the fourth quarter, according to the company in its most recent disclosure with the SEC. The fund owned 112,394 shares of the financial services provider’s stoc…",2025-04-02T09:46:55Z,https://www.etfdailynews.com/2025/04/02/essent-group-ltd-nyseesnt-shares-bought-by-sei-investments-co/,Positive,0.507
JPMorgan,Sei Investments Co. Trims Stake in Ashland Inc. (NYSE:ASH),"Sei Investments Co. decreased its stake in shares of Ashland Inc. (NYSE:ASH – Free Report) by 9.5% in the 4th quarter, according to its most recent Form 13F filing with the SEC. The institutional investor owned 73,405 shares of the basic materials company’s s…",2025-04-02T09:46:48Z,https://www.etfdailynews.com/2025/04/02/sei-investments-co-trims-stake-in-ashland-inc-nyseash/,Neutral,0.6373
JPMorgan,"Visa, Apple'ın yeni kredi kartı ortağı olarak Mastercard'ı devirmek için 100 milyon dolar teklif etti","Visa, Apple’ın kredi kartı ortaklığını Mastercard'dan devralmak için yaklaşık 100 milyon dolar teklif etti.",2025-04-02T09:40:11Z,https://www.patronlardunyasi.com/visa-applein-yeni-kredi-karti-ortagi-olarak-mastercardi-devirmek-icin-100-milyon-dolar-teklif-etti,Neutral,0.846
JPMorgan,Visa offers Apple $100 million to ditch Mastercard,Visa has reportedly offered Apple roughly $100 million to take over the tech giant's credit card partnership from Mastercard.,2025-04-02T09:36:58Z,https://www.finextra.com/newsarticle/45760/visa-offers-apple-100-million-to-ditch-mastercard,Neutral,0.8576
JPMorgan,Climate Finance Finds Itself at a Pivotal Moment in History,"Wall Street is scrambling to ditch the green transition for short-term gain. But in the long run, the reversal could prove to be very expensive.",2025-04-02T09:36:04Z,https://financialpost.com/pmn/business-pmn/climate-finance-finds-itself-at-a-pivotal-moment-in-history,Neutral,0.5056
JPMorgan,Новые тарифы Трампа пугают инвесторов и союзников США. Что пишут СМИ,"Президент США Дональд Трамп 2 апреля объявит о немедленном введении новых тарифов, при этом их характер пока держится в секрете. Эта ситуация вызвала напряжение как среди инвесторов, так и среди американских союзников в Европе. В Брюсселе уже пожаловались, чт…",2025-04-02T09:36:02Z,https://iz.ru/1863983/2025-04-02/novye-tarify-trampa-pugaiut-investorov-i-soiuznikov-ssha-chto-pishut-smi,Neutral,0.8262
JPMorgan,"Simplex Trading LLC Takes $416,000 Position in American Financial Group, Inc. (NYSE:AFG)","Simplex Trading LLC bought a new stake in American Financial Group, Inc. (NYSE:AFG – Free Report) in the 4th quarter, according to its most recent 13F filing with the SEC. The firm bought 3,040 shares of the insurance provider’s stock, valued at approximately…",2025-04-02T09:28:51Z,https://www.etfdailynews.com/2025/04/02/simplex-trading-llc-takes-416000-position-in-american-financial-group-inc-nyseafg/,Neutral,0.8937
